name,symbol
T50反1元富56購06,048890
T50反1元富57購01,088219
T50反1元富57購02,050749
T50反1元富58購01,032042
T50反1元富59購01,034524
T50反1元富59購02,035240
T50反1元富59購03,037082
T50反1元富5B購01,045654
T50反1元富5C購01,062213
T50反1元富5C購02,046850
T50反1元富61購01,050750
T50反1元富63購01,037468
T50反1元富64購01,050751
T50反1元富66購01,047759
T50反1凱基55購01,083857
T50反1凱基55購02,087612
T50反1凱基55購03,089185
T50反1凱基55購04,034673
T50反1凱基56購01,084840
T50反1凱基56購02,088591
T50反1凱基56購03,089984
T50反1凱基56購04,039637
T50反1凱基56購05,040874
T50反1凱基56購06,046819
T50反1凱基56購07,050314
T50反1凱基57購01,031632
T50反1凱基57購02,032170
T50反1凱基57購03,054057
T50反1凱基58購01,031514
T50反1凱基58購02,044507
T50反1凱基58購03,048298
T50反1凱基59購01,047516
T50反1凱基5A購01,039394
T50反1凱基5A購02,041391
T50反1凱基5A購03,058255
T50反1凱基5A購04,060579
T50反1凱基5B購01,031633
T50反1凱基5B購02,032810
T50反1凱基5B購03,035713
T50反1凱基5B購04,065195
T50反1凱基5C購01,032811
T50反1凱基5C購02,051555
T50反1凱基5C購03,057798
T50反1凱基5C購04,058256
T50反1凱基61售03,07920U
T50反1凱基61購01,045074
T50反1凱基61購02,051028
T50反1凱基61購04,058348
T50反1凱基62購01,062191
T50反1凱基63購01,053286
T50反1凱基63購02,057799
T50反1凱基63購03,061665
T50反1凱基64購01,051149
T50反1凱基64購02,053287
T50反1凱基66購01,060242
T50反1國泰55購01,040166
T50反1國泰55購02,041970
T50反1國泰56購01,045682
T50反1國泰57購01,047961
T50反1國泰57購02,048907
T50反1國泰58購01,051351
T50反1國泰58購02,053193
T50反1國泰59購01,055869
T50反1國泰5C購01,057461
T50反1國票55購01,041480
T50反1國票55購02,042802
T50反1國票56購01,083724
T50反1國票56購02,043090
T50反1國票56購03,046215
T50反1國票56購04,046704
T50反1國票57購01,046216
T50反1國票57購02,046705
T50反1國票57購03,050292
T50反1國票57購04,052249
T50反1國票58購01,046706
T50反1國票58購02,050293
T50反1國票58購03,052250
T50反1國票59購01,058468
T50反1國票59購02,058469
T50反1國票59購03,062099
T50反1國票59購04,062100
T50反1國票5A購01,058470
T50反1國票5A購02,058471
T50反1國票5A購03,065094
T50反1富邦55購01,088957
T50反1富邦55購02,031408
T50反1富邦56購02,036289
T50反1富邦56購03,045527
T50反1富邦56購04,047214
T50反1富邦57購01,041181
T50反1富邦58購01,031144
T50反1富邦58購02,034166
T50反1富邦58購03,045528
T50反1富邦5A購01,042095
T50反1富邦5B購01,034167
T50反1富邦5B購02,061960
T50反1富邦5C購01,035488
T50反1富邦5C購02,048791
T50反1富邦61購01,042096
T50反1富邦61購02,050911
T50反1富邦61購03,054211
T50反1富邦61購04,054212
T50反1富邦62購01,031815
T50反1富邦63購01,038368
T50反1富邦63購02,057776
T50反1富邦63購03,060002
T50反1富邦63購04,061397
T50反1富邦63購05,061398
T50反1富邦64購01,064759
T50反1富邦66購01,057777
T50反1富邦66購02,060003
T50反1富邦66購03,061399
T50反1富邦67購01,050912
T50反1永豐55售03,07229U
T50反1永豐55購01,030772
T50反1永豐55購02,039362
T50反1永豐55購04,045466
T50反1永豐56購01,036932
T50反1永豐56購02,042631
T50反1永豐56購03,047557
T50反1永豐57購01,086485
T50反1永豐57購02,045184
T50反1永豐58購01,035012
T50反1永豐58購02,041218
T50反1永豐59購01,040335
T50反1永豐59購02,047929
T50反1永豐5A購01,045973
T50反1永豐5B購01,049438
T50反1永豐5C購01,053892
T50反1永豐61購01,063158
T50反1群益54購04,042396
T50反1群益55購01,041147
T50反1群益55購02,041581
T50反1群益55購03,045394
T50反1群益56購01,046248
T50反1群益56購02,048595
T50反1群益56購03,050381
T50反1群益57購01,052567
T50反1群益57購02,054590
T50反1群益59購01,058522
T50反1群益59購02,058523
T50反1群益59購03,058524
T50反1群益59購04,060390
T50反1群益5A購01,061404
T50反1群益5A購02,062241
T50反1群益5A購03,062525
T50反1群益5A購04,065307
T50反1群益5B購01,062242
T50正2中信54購04,089853
T50正2中信55售01,03995U
T50正2中信56售02,03334U
T50正2中信56售04,04972U
T50正2中信56購01,082639
T50正2中信56購03,030886
T50正2中信57售01,04814U
T50正2中信58購01,032150
T50正2中信58購02,032329
T50正2中信59售01,05530U
T50正2中信59購02,049215
T50正2中信5A售01,06285U
T50正2中信5A售03,06647U
T50正2中信5A購02,040984
T50正2中信5B售01,06949U
T50正2中信5B售03,07122U
T50正2中信5B售04,07171U
T50正2中信5B售06,07310U
T50正2中信5B售07,07331U
T50正2中信5B購02,043845
T50正2中信5B購05,045464
T50正2中信5C購01,048673
T50正2中信62售01,05305U
T50正2中信63售01,05838U
T50正2中信63購02,065452
T50正2中信64售02,08931U
T50正2中信64售04,08941U
T50正2中信64售06,08964U
T50正2中信64購01,062612
T50正2中信64購03,062873
T50正2中信64購05,063341
T50正2中信66購01,046959
T50正2中信66購02,049832
T50正2元大54購05,038239
T50正2元大55售01,05156U
T50正2元大55售03,05342U
T50正2元大55售05,06300U
T50正2元大55售07,06998U
T50正2元大55購02,033125
T50正2元大55購04,039143
T50正2元大55購06,043677
T50正2元大56售01,05736U
T50正2元大56售03,06018U
T50正2元大56售04,06656U
T50正2元大56售07,07677U
T50正2元大56售10,07819U
T50正2元大56購02,037283
T50正2元大56購05,047290
T50正2元大56購06,048208
T50正2元大56購08,050139
T50正2元大56購09,050140
T50正2元大57售01,05737U
T50正2元大57售02,07495U
T50正2元大57售03,07614U
T50正2元大57售05,08008U
